Species,Spp Code,Threat,Stress,Sensitivity,Literature Quote,Citation
American Redstart (Setophaga ruticilla),amered,1.1 Housing & Urban Areas,1.2 Ecosystem degradation,Negative impact (Literature),"These species significantly preferred urban forest fragments: American Redstart, Chestnut-sided Warbler, Prothonotary Warbler, Worm-eating Warbler, Black-and-white Warbler, Eastern Towhee, Veery, Hooded Warbler, Black-throated Blue Warbler, and Ovenbird.","""Buron R, Hostetler ME, Andreu M. 2022. Urban forest fragments vs residential neighborhoods: Urban habitat preference of migratory birds. Landscape and Urban Planning 227:104538. Available from https://www.sciencedirect.com/science/article/pii/S0169204622001876 (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Extrapolated),"Considering the family level ofbirds in the CCA, we noted that members of the Parulidae were more strongly associated with higher GreenLevels (high tree canopy and exposed habitats; Fig.5).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Literature),Table 1 Bird species included in the canonical correspondence analysis,"""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Flycatchers, tanagers, vireos, warblers, thrushes, and bluebirds respond negatively to urbanization in ponderosa pine forests.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Table 1, list of sensitive species","""Glennon MJ, Kretser HE. 2013. Size of the ecological effect zone associated with exurban development in the Adirondack Park, NY. Landscape and Urban Planning 112:10–17."""
American Redstart (Setophaga ruticilla),amered,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Literature),"Our reviews yielded data from 48 peer-reviewed studies that allowed us to compile a list of 219 species of forest birds, all of which utilized small forest fragments and trees within residential areas in some way either during the breeding or migration season or both.

For interior-forest specialists, fragmented landscapes caused by urbanization and agriculture generally do not provide high quality breeding habitat due to increased nest predation and to parasitism by cowbirds (Ibáñez-Álamo et al., 2015), competition with invasive species (Shochat et al., 2010), and anthropogenic pollution (e.g. noise, light, chemical, etc.) (Laurance, 2008). Even when these remaining fragments represent good quality habitat, the break in connectivity poses problems for some birds because traversing roads, bridges, open fields, and other humanmade structures involves high risk of predation and collision (Loss,
Ruiz, & Brawn, 2009).","""Archer J-MJ, Hostetler ME, Acomb G, Blair R. 2019. A systematic review of forest bird occurrence in North American forest fragments and the built environment. Landscape and Urban Planning 185:1–23."""
American Redstart (Setophaga ruticilla),amered,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Literature),"For effects of brood parasitic Brown-headed Cowbird and nest predators associated with fragmented forest landscapes and human residential activities, see Demography and Populations: Population Regulation. ","""Sherry TW, Holmes RT, Pyle P, Patten MA. 2020. American Redstart (Setophaga ruticilla), version 1.0. Birds of the WorldDOI: 10.2173/bow.amered.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/amered/cur/introduction (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Berlanga H, Kennedy J, Rich T. 2010. Saving our shared birds: Partners in Flight Tri-national vision for landbird conservation. United States Fish and Wildlife: Staff Publications. Available from https://digitalcommons.unl.edu/usfwspubs/376."""
American Redstart (Setophaga ruticilla),amered,2.1.3 Agriculture development,1.1 Ecosystem conversion,No negative impact (Extrapolated),"The most abundant families were: Trochilidae, Tyrannidae with 12 species respecting, Parulidae 11, and Icteridae with nine species.","""Anonymous. 2018. Avifauna study for the Acajutla-Ahuachapán row of “LNG to Power” project transmission line, Energía del Pacífico, El Salvador. Page 33. Available from https://www3.dfc.gov/Environment/EIA/energia/Transmission_ESIA/Avifauna_Study.pdf."""
American Redstart (Setophaga ruticilla),amered,2.3.1 Grazing of natural vegetation,1.2 Ecosystem degradation,No negative impact (Literature),"Can reach moderate overwintering densities in such habitats as citrus orchards, shade coffee plantations, grazed savannas, and residential areas with trees (Sherry and Holmes 1996a); thus, not all human activities threaten the species. ","""Sherry TW, Holmes RT, Pyle P, Patten MA. 2020. American Redstart (Setophaga ruticilla), version 1.0. Birds of the WorldDOI: 10.2173/bow.amered.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/amered/cur/introduction (accessed May 15, 2024)."""
American Redstart (Setophaga ruticilla),amered,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),"Listed in Table 2 ""Projected vulnerability of neotropical migratory landbirds to anthtropogenic alteration of tropical broadleaved forests.""
","""Petit DR, Lynch JF, Hutto RL, Blake JG, Waide RB. 1993. Management and conservation of migratory landbirds overwintering in the Neotropics. Status and management of Neotropical migratory birds; 1992 September 21-25; Estes Park, CO. Gen. Tech. Rep. RM-229. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station. 422 p. Pages 70–92."""
